ticker,price,drop_rate,recovery_rate
AACG,0.86,-66.66,16.26
AAON,80.97,-41.02,10.63
AAPD,13.82,-35.52,8.9
AAPG,27.89,-42.44,8.1
ABEO,5.21,-30.9,8.54
ABP,4.1,-90.44,8.47
ABTS,5.57,-48.69,10.08
ABVC,2.27,-58.58,15.52
ACDC,4.1,-61.68,11.56
ACET,7.95,-54.44,7.95
ACLX,65.41,-30.47,8.38
ACTU,6.5,-45.79,13.04
ACXP,2.92,-86.1,19.67
ADGM,0.95,-66.76,17.77
ADIL,0.24,-81.73,7.95
ADV,0.87,-70.57,9.9
ADXN,7.8,-35.27,11.27
AEHR,23.81,-30.68,19.65
AERT,0.54,-64.69,5.72
AFCG,2.87,-64.01,6.69
AGAE,0.37,-90.37,7.7
AGIO,28.49,-38.07,17.92
AGMH,2.16,-97.11,13.35
AHG,1.43,-31.9,18.18
AIHS,1.13,-93.35,11.88
AIMD,1.83,-63.5,13.35
AIOT,5.62,-35.48,9.98
AIRG,4.05,-52.24,9.62
AISP,3.21,-55.42,18.45
AIXC,2.51,-71.51,12.05
AIXI,0.4,-93.4,5.58
AKAN,0.47,-94.97,12.31
ALAB,158.72,-39.63,13.29
ALDX,4.29,-40.48,8.77
ALT,4.13,-46.58,18.65
ALVO,4.79,-65.04,8.86
AMDD,9.73,-71.04,13.46
AMDG,24.23,-45.08,6.66
AMDL,14.34,-44.55,7.66
AMIX,0.55,-83.56,16.05
AMSC,30.81,-56.29,7.43
AMST,1.98,-58.58,10.61
AMWD,58.25,-30.42,9.06
ANGI,14.02,-32.28,17.41
ANIX,3.51,-35.71,14.71
ANY,0.35,-72.39,18.74
AOSL,22.19,-52.42,12.61
AOUT,8.82,-50.72,16.55
