ticker,price,drop_rate,recovery_rate,market_cap,news_top
AAON,83.32,-39.3,13.84,6801749504,AAON (AAON) Stock Drops: Buying Opportunity Amid Nvidia Chip Con | AAON (NASDAQ:AAON) Shares Down 4.7%
AAPG,28.78,-40.6,11.55,2692377856,Ascentage Pharma Group Internat (AAPG) Stock Analysis: A Biotech Giant with 69.63% Potential Upside | Ascentage Pharma Group International (NASDAQ:AAPG) Shares Gap Up
ALAB,162.61,-38.15,16.07,27465416704,"Astera Labs (NASDAQ:ALAB) Stock Price Down 7.5% | ALAB Stock Rallies 20% in One Year: Should You Buy, Hold, or Sell?"
BSY,40.13,-32.07,6.45,12184710144,"Bentley Systems Acquires Talon Aerolytics, and Pointivo Technology, for Asset Analytics Leadership | Hawaii hands out 1,000 dash cams so AI can spot road hazards in real time"
BTDR,11.51,-58.6,19.21,2552279296,BITDEER TECHNOLOGIES GROUP (NASDAQ: BTDR) SHAREHOLDER ALERT | Do Bitdeer Technologies Group’s SEAL04 Lawsuits Recast the Core BTDR Technology Execution Story?
BULL,8.46,-89.37,10.39,4245370368,Global Stocks Are Projected to Return 11% in the Next 12 Months | Josh Brown: The bull market in this bank stock is ready to be renewed to start 2026
BWIN,26.04,-44.77,18.81,3094184192,Why Is Baldwin Insurance Group (BWIN) Stock Rocketing Higher Today | Assessing Baldwin Insurance Group (BWIN) Valuation After Recent Rebrand And Share Price Weakness
CDW,133.49,-39.21,5.17,17495300096,Who Owns CDW Corporation? Top Shareholders and Recent Insider Activity | CDW (NASDAQ:CDW) Stock Unloaded Rep. April McClain Delaney
CLSK,11.61,-50.83,16.33,3103768320,CleanSpark (CLSK) Valuation Check After Recent Share Price Rebound | CleanSpark: 3 Reasons To Buy The Dip Now (NASDAQ:CLSK)
CNXC,44.06,-31.92,15.28,2776886784,Allspring Global Investments Holdings LLC Invests $9.63 Million in Concentrix Corporation $CNXC | Concentrix Likely To Report Lower Q4 Earnings; These Most Accurate Analysts Revise Forecasts Ahead Of Earnings Call
COIN,240.78,-45.85,6.79,64928157696,"Coinbase Chart Flashes Death Cross; Is Coin Stock A Buy Now? | Coinbase Global, Inc. (COIN) Stock Drops Despite Market Gains: Important Facts to Note"
CORT,37.5,-68.04,13.67,3951439872,"Why Corcept (CORT) Stock Is Trading Lower Today | Corcept Therapeutics: Despite FDA Blind Side, Relacorilant Remains A Viable Drug (NASDAQ:CORT)"
CPRT,39.83,-37.62,6.47,38556143616,Is Copart Stock A Good Value Pick For Your Portfolio? | Copart: Why The Salvage King Still Reigns (NASDAQ:CPRT)
CRVL,71.42,-44.47,9.09,3664756480,Estimating The Intrinsic Value Of CorVel Corporation (NASDAQ:CRVL) | Will CRVL stock see insider buying
CVLT,124.17,-38.13,5.23,5520556032,Commvault Systems (CVLT) Ascends While Market Falls: Some Facts to Note | Commvault Systems (NASDAQ:CVLT) Seems To Use Debt Rather Sparingly
CZR,24.63,-38.43,7.32,5122831360,Caesars Stock (+9%): Digital Profitability Surprise Ignites Re | Assessing Caesars Entertainment (CZR) Valuation After Recent Share Price Moves And Digital Growth Expectations
DOCU,68.81,-30.7,7.43,13780766720,"Docusign: We Should See Growth Acceleration Soon (NASDAQ:DOCU) | DocuSign, Inc.'s (NASDAQ:DOCU) latest 6.7% decline adds to one"
ENPH,35.22,-50.24,13.14,4608879104,A Look At Enphase Energy (ENPH) Valuation After KeyBanc Upgrade To Sector Weight | Assessing Enphase Energy (ENPH) Valuation After Recent Share Price Momentum Shift
FISV,69.85,-70.72,8.28,37969981440,Is Fiserv Stock In Deeply Discounted Territory? | Fiserv Stock: Strong Cash Flow Poised for a Re
FIZZ,33.1,-30.88,6.06,3099222528,Uncomfortable Stock Show Parade Moment! | Tracy and Fizz's Big Dumb Post Show | Why FIZZ stock remains on buy lists
FRHC,131.0,-32.48,8.97,8011951104,Published on: 2026 | CEO Change: What MACD trends signal for namR Socit anonyme 8GQ stock
FRPT,64.06,-60.96,7.66,3126661888,"Are Strong Financial Prospects The Force That Is Driving The Momentum In Freshpet, Inc.'s NASDAQ:FRPT) Stock? | Freshpet (FRPT) Valuation Check After Recent Share Pullback And Mixed Return Track Record"
FRSH,12.24,-38.09,6.81,3567086848,"Freshworks (FRSH) Stock Is Up, What You Need To Know | AI"
GLBE,41.59,-34.7,11.62,7058907648,1 Small | Is Now An Opportune Moment To Examine Global
GSHD,74.88,-41.5,8.52,2812347904,What Makes GooseHead Insurance (GSHD) Attractive | JPMorgan Chase & Co. Has Lowered Expectations for Goosehead Insurance (NASDAQ:GSHD) Stock Price
